"totsp","livesp","kitsp","dist","metrdist","floor","price"
"58","40","6","12.5","7","10","81"
"44","28","6","13.5","7","2","75"
"70","42","6","14.5","3","7","128"
"61","37","6","13.5","7","12","95"
"104","60","11","10.5","7","15","330"
"76","50","9","11","7","16","137"
"59","39","6","7.5","10","8","98"
"55","36","6","9","5","6","88"
"80","56","9","9","5","14","225"
"86","51","10","12.7","10","9","140"
"96","56","12","10.5","7","3","132"
"77","50","9","3.5","7","8","115"
"70","47","8","7.5","5","7","142"
"63","44","7","14.5","10","16","84"
"66","43","7","12","7","13","100"
"75","50","10","13.5","10","16","110"
"87","58","8","7.5","7","14","170"
"79","50","9","4.5","1","13","175"
"60","43","6","12","15","5","96"
"85","54","10","6","10","8","110"
"84","55","11","3","15","3","170"
"62","40","8","12.5","5","8","125"
"72","51","8","9","5","12","135"
"58","38","6","12","8","4","95"
"92","61","10","10.5","15","12","148"
"68","43","7","13.5","10","13","56"
"82","46","13","12","5","10","135"
"73","52","7","11","5","8","130"
"49","34","6","7","10","4","72"
"85","46","14","12","7","7","127"
"65","44","8","4.5","5","5","140"
"73","51","8","10.5","7","7","112"
"83","56","10","12","15","3","120"
"70","47","8","9","5","5","130"
"75","43","10","12.7","5","9","110"
"125","80","20","9","3","7","450"
"81","56","8","7.5","15","15","159"
"77","47","12","13.5","10","10","120"
"77","41","10","10","7","7","132"
"68","40","8","3","5","7","169"
"75","47","9","3","3","7","185"
"61","33","7","10.5","10","6","92"
"60","43","6","12","5","12","88"
"58","43","6","13.5","2","3","90"
"77","50","9","6","10","15","115"
"100","56","14","7","10","4","265"
"79","46","13","12","15","7","129"
"65","46","7","12.5","5","16","110"
"60","43","6","12","5","2","102"
"77","45","13","13","10","4","101"
"60","42","7","12","10","3","86"
"75","42","8","12","15","10","115"
"64","46","7","12","5","2","87"
"99","51","12","10.5","1","16","140"
"113","60","20","9","10","14","219"
"51","34","6","13.5","5","8","79"
"81","50","11","7.5","5","10","180"
"62","38","9","13","4","8","89"
"83","49","19","9","5","12","340"
"75","42","10","12","5","10","112"
"67","37","7","10.5","10","5","99"
"89","51","12","12.7","6","2","170"
"80","45","10","7","7","3","198"
"51","34","6","3.5","10","1","89"
"78","55","8","7.5","10","11","193"
"57","42","6","11","10","6","100"
"77","47","10","13.5","10","15","135"
"78","44","8","13.5","20","9","100"
"64","38","8","3","3","6","136"
"80","48","10","10.5","10","8","133"
"85","58","8","12","4","2","145"
"79","52","10","14.5","10","7","105"
"53","34","6","9","5","1","97"
"103","49","13","14.5","10","11","220"
"77","45","10","12","10","12","125"
"81","45","10","13","12","16","110"
"87","66","9","7.5","10","7","153"
"74","44","10","15.5","8","14","137"
"59","45","6","12","5","16","85"
"64","45","6","12.5","10","9","95"
"67","41","9","14.5","7","6","115"
"55","36","6","12.5","15","14","76"
"80","48","10","10.5","15","9","139"
"80","44","14","10.5","10","13","350"
"66","40","8","12.5","5","4","105"
"51","34","6","3.5","7","15","110"
"66","44","8","12","5","10","99"
"60","45","6","13.5","5","10","90"
"80","46","10","10.5","15","4","130"
"65","45","9","9","10","5","165"
"75","44","11","13.5","10","5","130"
"78","48","9","9","4","13","158"
"130","72","15","7","5","1","380"
"80","42","20","8","5","6","210"
"75","51","9","3.5","5","13","116"
"76","44","10","12.5","5","6","140"
"86","54","13","6","10","13","130"
"51","35","6","12.5","5","16","82"
"115","70","14","10","3","5","208"
"65","40","8","17","12","8","99"
"77","46","11","13","2","3","110"
"120","75","18","9","10","4","470"
"57","42","6","3","15","14","105"
"70","44","8","8","5","11","169"
"64","45","7","12.5","12","2","94"
"78","46","10","12.5","5","8","136"
"55","38","6","6.5","10","10","88"
"81","56","9","6","7","2","130"
"87","55","10","12","3","12","150"
"58","43","5","12","15","16","84"
"60","43","6","13.5","5","4","74"
"77","45","10","13","5","14","138"
"62","42","10","12","10","12","125"
"57","40","6","4.5","5","8","105"
"70","45","8","10.5","10","9","138"
"86","55","10","10.5","10","7","129"
"56","42","6","12","5","2","120"
"64","39","8","12","15","2","95"
"56","39","5","10.5","5","12","82"
"51","35","6","13.5","10","5","74"
"83","47","10","17","10","9","110"
"60","43","6","12","7","15","87"
"81","46","12","12","5","13","190"
"58","43","6","17","10","3","90"
"79","53","8","9","3","14","152"
"74","40","12","12.7","7","13","120"
"83","55","10","4.5","3","5","195"
"80","51","10","13.5","10","8","144"
"78","48","13","4.5","5","10","149"
"56","40","5","9","5","8","140"
"57","44","6","9","5","8","105"
"73","45","8","3","2","15","185"
"78","54","8","11.5","10","1","115"
"74","45","10","13","15","9","115"
"58","44","6","7","10","9","106"
"64","39","8","12","7","9","92"
"56","42","6","3","15","14","105"
"82","44","11","12.7","12","16","120"
"86","46","9","12","10","1","52"
"95","58","14","9","7","1","169"
"80","53","9","7","5","1","225"
"59","43","5","14.5","5","1","94"
"76","45","10","12","10","1","99"
"51","35","6","17","10","0","86"
"80","50","9","4.5","2","0","177"
"75","45","10","12","7","1","113"
"76","46","10","13","7","1","110"
"78","50","10","12","3","1","145"
"56","41","5","6","15","1","90"
"127","62","20","13.5","10","1","199"
"158","80","20","10.5","10","1","372"
"58","42","6","7.5","15","1","95"
"51","34","6","13.5","10","1","78"
"84","45","11","12","10","1","135"
"80","45","12","12.7","15","1","100"
"76","46","10","9","5","1","153"
"65","47","9","13.5","7","1","95"
"60","43","6","12.5","5","1","103"
"80","45","13","12","7","0","114"
"85","46","10","12","15","1","113"
"80","52","10","12","10","1","108"
"74","44","11","13","5","0","107"
"77","52","9","10.5","15","1","100"
"76","43","12","13","5","0","106"
"60","44","6","13.5","7","1","84"
"73","51","9","7.5","10","0","139"
"76","46","10","13","5","1","106"
"78","55","8","13.5","10","1","124"
"65","40","8","17","5","0","112"
"65","43","7","12","10","1","110"
"60","44","6","13.5","10","1","80"
"58","41","5","7.5","7","0","115"
"83","47","10","17","10","1","110"
"68","46","8","9","10","1","138"
"63","47","7","12","20","0","50"
"77","43","8","12.5","5","1","132"
"58","43","6","10","10","1","80"
"59","44","6","13.5","10","1","88"
"106","60","17","9","5","1","194"
"78","54","8","7.5","10","1","130"
"50","34","6","12","10","0","86"
"70","50","8","5","5","0","128"
"85","53","7","4.5","10","0","155"
"105","74","18","5","1","1","270"
"60","43","6","14.5","6","1","85"
"76","44","10","12.7","2","0","135"
"122","68","12","10","5","1","200"
"51","35","6","7","3","1","90"
"65","47","8","12.5","2","1","133"
"69","44","9","14.5","10","1","103"
"61","44","6","12.5","10","1","89"
"56","39","6","11.5","10","1","81"
"58","42","6","12","5","1","106"
"77","45","11","10.5","15","1","166"
"55","37","6","11.5","2","1","78"
"77","45","10","12","10","1","110"
"74","44","10","12.7","10","1","120"
"80","51","10","13.5","10","1","100"
"76","42","10","13.5","10","1","127"
"75","46","11","9","15","1","150"
"79","62","6","17","2","0","99"
"67","44","8","6","10","1","118"
"63","43","9","12","1","0","120"
"64","45","7","15.5","10","0","85"
"78","54","8","9","10","1","167"
"58","44","5","17","2","1","105"
"56","41","6","9","5","0","130"
"80","45","13","13","10","0","125"
"59","43","6","17","5","1","86"
"60","41","8","4.5","10","0","105"
"68","49","11","7.5","7","0","118"
"75","44","8","12","10","0","107"
"65","46","6","15.5","7","1","100"
"83","55","9","9","3","1","195"
"66","40","19","7.5","10","1","120"
"60","43","6","14.5","10","1","95"
"58","43","6","14.5","10","1","110"
"55","41","5","11.5","3","1","80"
"75","45","10","13","5","1","97"
"63","39","8","15.5","5","1","92"
"75","44","8","12.7","3","1","130"
"92","52","15","3.5","3","1","235"
"60","38","8","12","5","1","93"
"82","48","8","13","10","1","95"
"77","46","10","12.7","7","1","115"
"76","44","10","12","2","1","140"
"82","48","8","13","12","1","92"
"60","44","6","14.5","7","1","89"
"103","51","14","14.5","15","1","230"
"64","40","8","15.5","15","1","95"
"83","55","9","10.5","10","1","156"
"77","46","10","12.7","2","1","135"
"78","60","11","14.5","10","1","125"
"74","50","8","10.5","10","0","122"
"85","52","11","9","10","1","140"
"64","45","6","14.5","10","1","95"
"65","39","11","12","5","1","105"
"78","44","8","13.5","1","1","150"
"74","45","10","13.5","5","1","136"
"80","48","9","14.5","7","1","170"
"75","45","10","12","7","1","105"
"82","52","12","13.5","10","0","125"
"61","41","6","13","10","0","73"
"78","46","10","12","15","1","93"
"64","45","7","12.5","10","1","95"
"101","65","15","10.5","20","1","225"
"65","40","8","17","5","1","108"
"60","45","6","9","7","1","92"
"57","38","6","7.5","6","0","90"
"85","54","11","8","10","1","145"
"67","47","6","12","5","1","93"
"80","56","9","12","5","1","160"
"62","37","8","12.5","10","1","93"
"57","43","6","12","5","1","90"
"55","40","6","10.5","10","1","79"
"73","43","11","12.7","10","0","95"
"75","52","9","7.5","10","1","110"
"66","44","9","12.5","15","1","125"
"99","65","11","9","10","1","299"
"77","46","10","12.5","10","1","127"
"75","45","10","12","7","1","112"
"58","43","5","12","15","0","84"
"110","55","11","12","1","1","195"
"81","60","13","13","5","1","170"
"67","45","9","13.5","10","0","95"
"145","82","14","4.5","3","1","450"
"85","56","12","6.5","10","1","160"
"78","46","10","5","10","1","165"
"56","38","6","7","10","1","80"
"78","50","9","13.5","15","0","125"
"77","44","10","13.5","5","1","120"
"82","52","10","3","3","1","226"
"66","48","8","12","1","0","105"
"66","43","10","9","10","1","120"
"77","45","10","5","10","1","150"
"77","46","11","13","5","1","103"
"57","42","6","10.5","4","1","115"
"87","57","7","10.5","3","1","140"
"80","53","9","7.5","15","1","185"
"80","50","10","7","7","1","120"
"57","46","6","12","10","1","82"
"74","53","7","4.5","7","1","130"
"70","42","10","14.5","7","1","110"
"61","49","6","12","10","1","90"
"108","62","12","13.5","10","1","185"
"80","46","10","7.5","10","1","146"
"68","46","8","12","15","1","105"
"100","56","12","12","10","1","193"
"51","34","6","9","5","0","75"
"65","47","9","5","10","1","138"
"63","40","8","12.5","10","1","115"
"59","44","6","7","5","0","93"
"83","50","11","12.7","15","1","123"
"82","53","9","11.5","10","1","120"
"66","43","6","15.5","5","0","90"
"56","39","6","12.5","10","1","86"
"64","40","8","17","5","1","103"
"59","43","6","13.5","15","1","85"
"85","51","10","12.7","3","1","123"
"69","44","10","12","5","1","110"
"60","44","10","12","10","0","88"
"75","46","10","13.5","10","1","116"
"71","52","8","8","10","0","119"
"80","45","13","12","5","1","130"
"55","40","6","11","5","1","85"
"79","45","10","13","7","0","93"
"79","45","13","12","3","1","127"
"77","42","10","6","5","1","143"
"77","46","8","12","15","0","105"
"74","45","8","5","15","1","177"
"54","37","6","14.5","10","1","73"
"74","45","11","17","10","1","145"
"72","50","9","7.5","10","1","99"
"60","44","6","12","10","1","91"
"68","44","8","10.5","5","1","122"
"74","49","9","7.5","10","1","147"
"76","45","10","17","10","1","84"
"51","34","6","7","7","1","73"
"58","39","6","10","7","1","85"
"68","46","8","12.5","7","1","135"
"75","44","13","12","10","1","116"
"76","44","10","14.5","9","1","136"
"56","36","6","17","10","1","88"
"87","55","10","6.5","5","1","153"
"74","44","10","10.5","7","0","135"
"74","51","9","10.5","7","1","135"
"68","53","6","12","10","1","100"
"66","37","7","11","7","1","115"
"69","40","9","13.5","15","1","120"
"84","46","10","13.5","7","1","149"
"56","33","6","8","10","0","98"
"60","44","6","7","7","1","85"
"80","50","8","10","5","1","169"
"55","38","6","3.5","5","0","100"
"64","44","9","12","12","1","125"
"55","35","8","7.5","7","1","95"
"75","44","10","13","2","1","114"
"78","50","8","9","10","0","105"
"75","53","8","11","3","1","125"
"65","39","9","17","10","1","100"
"64","41","7","14.5","3","1","93"
"99","70","9","7.5","7","1","165"
"52","35","6","13.5","10","1","72"
"78","52","7","11","7","1","125"
"74","47","10","3","5","0","250"
"87","51","12","12.7","6","0","165"
"84","52","8","6.5","3","1","148"
"81","49","9","13","10","1","130"
"74","51","9","7.5","10","1","148"
"79","45","13","9","20","1","123"
"77","45","9","12","5","1","149"
"55","35","6","9","10","1","97"
"50","34","6","12","5","0","80"
"58","42","5","12","10","1","100"
"75","45","10","12","5","1","105"
"52","36","6","10.5","15","0","80"
"100","63","9","13","7","1","120"
"59","42","6","12.5","10","0","78"
"90","57","8","10.5","2","1","209"
"81","51","14","9","3","1","190"
"51","35","6","10.5","3","1","88"
"85","53","9","10.5","7","0","135"
"90","54","13","7.5","7","1","185"
"100","65","11","9","10","1","299"
"81","45","9","14.5","10","0","111"
"65","44","7","13.5","10","1","102"
"65","45","7","14.5","10","0","94"
"79","53","9","8","15","1","165"
"90","52","13","10","3","1","164"
"63","45","7","13.5","10","1","110"
"78","51","9","6","15","1","137"
"57","42","6","13.5","5","1","97"
"80","46","13","12","15","0","155"
"75","45","10","7","15","0","153"
"88","55","14","17","5","1","132"
"74","45","10","12.7","7","1","110"
"63","38","8","10.5","10","1","103"
"49","33","6","14.5","10","0","79"
"121","71","12","10","3","1","200"
"59","44","6","9","5","1","85"
"66","43","7","17","5","1","108"
"81","56","9","6","5","0","125"
"90","55","10","9","7","0","145"
"74","56","8","4.5","7","1","250"
"78","46","11","12","5","1","140"
"79","51","12","3","8","1","160"
"96","51","12","13.5","10","0","122"
"63","42","7","13.5","15","1","100"
"55","38","5","6.5","5","1","87"
"69","47","6","12","10","0","92"
"77","42","8","6","15","1","150"
"112","64","16","14.5","5","1","150"
"61","42","6","12.5","5","1","88"
"78","45","10","13","7","1","100"
"64","38","8","10.5","15","0","92"
"76","54","8","10.5","15","0","112"
"65","45","7","12","7","1","90"
"85","50","8","6.5","2","1","140"
"75","45","10","13","5","1","100"
"58","38","6","12.5","10","0","83"
"72","50","8","10.5","10","1","115"
"68","53","6","13","10","1","92"
"65","41","11","12.5","15","1","110"
"64","45","6","17","5","1","103"
"78","47","9","5","10","1","165"
"89","57","9","7","5","1","165"
"128","70","18","7","5","1","371"
"60","38","6","17","7","0","85"
"65","39","8","12","15","1","95"
"113","58","13","13.5","10","1","141"
"77","50","8","12.5","15","0","113"
"73","52","8","11","10","1","125"
"64","40","9","12","10","1","108"
"59","45","5","10","15","1","84"
"71","47","8","7.5","10","1","170"
"72","51","8","6.5","5","1","112"
"76","45","10","12","7","1","131"
"77","46","9","13","5","0","110"
"79","48","9","10.5","5","0","135"
"69","44","8","8","10","1","132"
"100","50","10","15.5","10","1","135"
"63","39","8","14.5","15","1","95"
"77","45","10","10","5","1","140"
"77","45","10","13","10","1","120"
"68","44","9","12","7","1","115"
"96","58","14","7","5","1","165"
"66","39","8","17","10","0","99"
"123","68","16","14.5","10","0","192"
"75","45","10","17","3","1","128"
"63","44","7","17","3","1","105"
"83","46","12","13.5","10","1","133"
"64","41","9","13.5","12","1","96"
"84","54","8","7.5","10","1","168"
"78","45","10","14.5","10","1","150"
"84","55","11","3","15","1","135"
"65","43","10","12","5","1","85"
"57","37","5","12","7","1","85"
"86","50","10","13.5","10","1","138"
"57","45","6","12","15","1","87"
"80","48","11","12.7","5","1","115"
"80","44","13","10.5","10","1","117"
"95","51","11","6.5","3","1","154"
"60","43","6","12","10","1","84"
"114","67","15","14.5","10","1","160"
"61","43","6","14.5","7","1","93"
"77","47","11","11","7","1","130"
"70","44","8","15.5","7","0","100"
"78","44","11","12.7","10","1","135"
"59","38","6","7","10","1","84"
"66","44","7","3.5","10","1","105"
"75","46","10","12","5","1","155"
"76","45","10","13","10","1","120"
"60","35","8","11","5","1","105"
"53","35","7","11.5","5","0","75"
"77","46","10","6","10","1","110"
"108","65","14","14.5","15","1","280"
"85","52","10","12","10","1","115"
"57","37","6","13.5","10","1","78"
"134","70","16","9","5","1","227"
"56","42","5","6.5","5","0","86"
"70","43","10","12.7","10","0","106"
"66","39","8","14.5","15","1","93"
"79","45","8","11.5","2","1","112"
"64","45","7","13.5","7","1","93"
"74","45","10","13","15","1","120"
"60","41","6","14.5","7","0","92"
"81","46","13","9","7","1","220"
"66","42","9","8","7","1","107"
"62","38","9","17","7","0","115"
"61","38","6","13","10","0","83"
"66","47","6","4.5","2","0","140"
"64","45","6","13.5","7","1","105"
"57","43","6","8","5","0","120"
"64","46","7","17","15","0","88"
"76","40","11","12.7","10","1","115"
"70","45","10","9","10","1","140"
"94","57","8","10.5","15","1","149"
"75","43","10","17","10","1","120"
"92","62","18","6","7","1","170"
"73","49","8","11.5","5","0","105"
"86","55","10","9","10","1","189"
"61","42","6","12","7","1","86"
"80","40","14","12","10","1","126"
"59","40","6","10","5","1","85"
"82","47","11","12.5","10","0","140"
"84","52","11","13","5","1","104"
"66","45","10","12","5","1","108"
"60","45","6","13.5","7","1","84"
"55","35","6","14.5","5","1","90"
"61","43","6","12","15","1","87"
"71","42","10","12","5","0","115"
"58","44","6","7","7","0","78"
"80","47","9","13.5","10","1","120"
"74","44","10","12","15","0","98"
"81","54","8","7.5","12","1","152"
"82","48","8","13","10","1","105"
"78","48","12","9","4","1","158"
"58","33","5","11.5","5","1","87"
"108","56","15","11","5","1","150"
"79","45","13","14.5","5","1","109"
"64","44","9","7","3","1","158"
"86","51","8","12","2","1","160"
"56","37","6","10","1","0","80"
"66","38","7","11","7","1","115"
"70","45","8","8","7","0","260"
"56","40","5","12.5","5","1","90"
"76","43","8","12.5","5","1","132"
"59","46","6","10","15","1","84"
"63","35","8","11","7","1","112"
"77","43","8","10.5","10","1","120"
"76","45","10","12","15","1","115"
"74","41","9","6.5","5","1","165"
"77","46","10","10.5","15","1","125"
"67","43","9","13.5","10","1","103"
"72","47","10","13.5","7","0","130"
"59","41","6","9","5","0","129"
"52","34","6","17","10","0","80"
"84","55","9","4.5","5","1","190"
"72","42","9","12","5","1","130"
"56","42","5","6.5","5","0","86"
"106","58","24","9","5","1","190"
"84","52","11","12.7","20","1","132"
"80","45","13","12","10","1","170"
"78","52","9","11","5","1","118"
"63","47","6","13.5","5","1","78"
"56","38","6","13.5","10","0","77"
"50","34","6","13.5","2","1","77"
"75","45","10","14.5","10","1","105"
"76","45","10","12","5","1","150"
"75","45","9","10.5","7","1","143"
"113","85","20","9","10","1","350"
"70","40","9","13.5","5","0","110"
"107","64","13","14.5","10","1","159"
"75","46","10","7","12","1","135"
"60","43","6","15.5","5","1","89"
"76","50","10","5","5","1","170"
"55","37","6","10.5","10","1","89"
"64","44","7","12","5","1","115"
"77","40","11","12.7","15","1","110"
"59","44","6","12","10","1","84"
"78","46","10","14.5","7","1","130"
"90","57","13","14.5","15","1","87"
"60","44","6","15.5","15","0","79"
"60","39","6","4.5","10","1","115"
"67","41","9","13.5","7","1","95"
"64","42","7","14.5","5","1","98"
"64","42","9","17","10","0","83"
"82","54","8","3.5","10","1","130"
"56","43","6","3","10","1","105"
"77","44","10","14.5","5","1","124"
"65","39","8","12.5","20","1","107"
"83","53","8","12","5","1","180"
"76","45","10","13","10","1","110"
"75","53","10","12.5","5","1","157"
"105","55","14","17","5","1","210"
"64","45","6","12.5","10","1","95"
"120","59","15","7","10","1","371"
"73","45","7","9","1","1","145"
"58","43","5","7","10","1","85"
"58","40","6","6.5","5","0","87"
"84","48","9","12.7","5","1","118"
"58","38","8","11.5","7","1","86"
"80","48","9","7","5","1","157"
"73","54","9","3","10","1","190"
"65","43","5","7.5","5","1","85"
"80","51","7","7.5","7","1","140"
"55","42","6","14.5","5","1","85"
"58","37","6","12","10","1","78"
"80","53","9","7.5","10","1","185"
"75","52","12","3.5","5","1","162"
"90","52","13","10","3","1","164"
"81","48","10","3","5","1","210"
"63","38","8","10.5","5","0","99"
"75","52","9","10.5","5","1","125"
"60","43","6","12","5","1","85"
"92","48","13","9","1","1","225"
"61","45","6","13.5","15","1","85"
"77","45","10","17","10","1","112"
"83","53","9","13.5","10","1","135"
"101","59","15","8","7","1","235"
"76","46","10","12","3","1","147"
"55","39","6","8","10","0","93"
"75","46","10","13","7","0","105"
"69","43","6","17","5","1","105"
"95","57","12","5","5","0","185"
"75","52","9","11.5","10","0","110"
"86","58","12","3","5","1","215"
"79","47","9","14.5","7","1","175"
"62","39","8","17","10","1","99"
"80","48","13","15.5","10","1","144"
"74","46","11","12.5","10","0","98"
"72","46","8","10","5","1","135"
"78","46","9","10.5","10","1","140"
"88","59","9","9","10","0","205"
"84","53","10","15.5","15","1","145"
"86","53","9","11.5","1","1","150"
"59","38","8","14.5","5","1","110"
"90","57","7","3","3","1","285"
"54","36","5","3.5","12","1","98"
"80","45","13","12.5","5","1","135"
"54","38","6","10.5","5","1","95"
"80","48","13","14.5","10","1","150"
"72","43","10","12","10","1","105"
"65","39","8","12","5","1","105"
"53","39","5","3.5","7","0","105"
"67","46","8","12.5","15","1","125"
"65","45","7","14.5","12","1","95"
"77","51","7","5","5","0","115"
"65","45","11","7","7","1","110"
"93","57","9","10.5","5","1","143"
"77","44","10","8","10","1","165"
"75","46","10","6.5","1","1","168"
"60","38","6","12","5","1","96"
"88","55","11","6","3","1","180"
"74","45","10","13","10","0","105"
"53","34","6","13","15","0","81"
"58","37","7","13.5","15","1","87"
"103","54","11","9","5","1","177"
"80","51","8","11.5","15","1","119"
"81","48","8","13","7","1","120"
"88","63","8","8","5","1","132"
"59","38","6","13.5","10","1","85"
"74","45","10","12.5","2","1","140"
"60","43","6","13.5","5","0","90"
"192","92","18","7.5","5","1","455"
"105","58","11","9","5","1","194"
"65","45","7","7.5","2","1","170"
"57","40","6","8","5","1","100"
"80","51","10","13.5","10","1","140"
"101","51","15","7","7","1","160"
"83","48","9","12.7","5","1","130"
"66","44","6","9","3","0","185"
"84","45","11","7","10","1","120"
"103","80","14","3","3","1","360"
"63","43","9","13.5","7","1","99"
"60","37","8","12","8","1","120"
"63","37","8","14.5","5","1","118"
"96","57","9","7.5","5","1","130"
"76","46","10","13","7","1","113"
"67","41","9","12.5","10","1","107"
"69","47","8","5","10","1","134"
"86","53","9","10.5","5","0","110"
"100","57","10","13.5","15","0","170"
"77","41","10","12.7","10","1","100"
"61","45","6","13.5","15","1","90"
"75","50","10","12","3","1","108"
"83","48","9","13","15","1","105"
"51","34","6","14.5","10","1","88"
"60","44","6","13.5","5","1","80"
"75","48","13","12.7","5","1","130"
"53","33","9","3","10","1","170"
"83","53","9","4.5","5","0","220"
"72","46","11","12.5","10","0","104"
"68","46","8","15.5","10","0","105"
"90","58","11","4.5","7","1","165"
"77","53","9","7","8","1","130"
"74","43","10","14.5","5","1","167"
"75","54","7","12","7","1","114"
"54","34","11","3","10","1","113"
"76","48","9","13.5","10","1","145"
"63","45","7","13.5","7","1","112"
"83","44","10","12","10","1","106"
"77","54","8","10.5","12","0","105"
"68","46","8","10.5","10","1","107"
"81","56","9","6","7","0","130"
"65","40","8","14.5","15","1","94"
"78","44","10","13","15","1","105"
"105","55","23","10","5","1","240"
"97","63","11","10","7","1","150"
"63","42","7","13.5","7","1","87"
"77","45","10","6","7","1","116"
"66","44","7","13.5","10","1","105"
"76","45","10","7","10","1","150"
"60","44","6","12","10","0","95"
"59","45","6","10","7","0","82"
"94","59","11","12.7","2","1","210"
"85","61","8","12","7","1","150"
"77","43","10","8","10","1","179"
